simpleName,repList,,count,samID,newsamID,comments,latitude,longitude,uniqIDnowuseless,DisplayName
lemnos,lemnos,,6,820,820,,39.91666667,25.25,820,Lemnos
leeds,leeds,,6,821,821,,53.79972222,-1.549166667,821,Leeds
landshipping,landshipping,,6,822,822,,51.76927778,-4.882655556,822,Landshipping
kambet,kambet,,6,823,823,unable to identify,NA,NA,823,Kambet
jaffa,jaffa,,6,824,824,,32.05222222,34.75305556,824,Jaffa
iuda,iuda,,6,825,825,Biblical place,NA,NA,825,Iuda
ister,ister,,6,826,826,,45.2175,29.76138889,826,Ister
iernes,ierne's,,6,827,827,,53.41666667,-8,827,Ierne
ida|idas,ida|ida's,,8,2190|828,828,|,39.7,26.83333333,2190|828,Ida
iambolly,iambolly,,6,829,829,,41.2,25,829,Iambolly
hispaniola,hispaniola,,6,830,830,,19,-71,830,Hispaniola
halifax,halifax,,6,831,831,,44.64777778,-63.57138889,831,Halifax
hackney,hackney,,6,832,832,,51.55,-0.058333333,832,Hackney
glamorganshire,glamorganshire,,6,834,834,,51.66666667,-3.666666667,834,Glamorganshire
germantown,ger mantown|germantown,,6,835,835,,39.18333333,-77.26666667,835,Germantown
garonne,garonne,,6,836,836,,45.04138889,-0.606666667,836,Garonne
franconia,franconia,,6,837,837,,49.816,10.865,837,Franconia
fortofsassacus,fort of sassacus,,6,838,838,site of mystic massacre,41.3627,-71.978,838,Fort Of Sassacus
east,east,,6,839,839,too vague,NA,NA,839,East
dunkirk,dunkirk,,6,840,840,,51.0383,2.3775,840,Dunkirk
drurylane,drury- lane|drury lane|drury-lane,,6,841,841,,51.515,-0.122777778,841,Drury- Lane
dorset,dorset,,6,842,842,,50.8,-2.3,842,Dorset
dessau,dessau,,6,844,844,,51.83333333,12.25,844,Dessau
concord,concord,,6,845,845,,42.46027778,-71.34944444,845,Concord
coloradoriver,colorado river,,6,846,846,,31.9,-114.9508333,846,Colorado River
coahuila,coahuila,,6,847,847,,27.3,-102.05,847,Coahuila
chesterfield,chesterfield,,6,848,848,,53.23583333,-1.4275,848,Chesterfield
chelsea,chelsea,,6,849,849,,51.4875,-0.1684,849,Chelsea
charingcross,charing-cross,,6,850,850,,51.5073,-0.12755,850,Charing-Cross
celicia,celicia,,6,851,851,,37,35.5,851,Celicia
caucasus,caucasus,,6,852,852,,42.26111111,44.12111111,852,Caucasus
castlehaven,castlehaven|castle-haven,,6,853,853,In Ireland ,51.53555556,-9.198333333,853,Castlehaven
carlorainecastle,carloraine castle,,6,854,854,"apparently a corruption of Coleraine, but this is just a guess",55.1325,-6.677,854,Carloraine Castle
capeofgoodhope,cape of good hope,,6,855,855,,-34.35805556,18.47194444,855,Cape Of Good Hope
canebrakecreek|caney,cane-brake creek|caney,,8,2422|856,856,"in Sargent, Texas|in Sargent, Texas",28.835,-95.66472222,2422|856,Cane-Brake Creek
canaans,ca naans|canaans|canaan's,,6,858,858,biblical place,NA,NA,858,Canaan
britishwestindies,british west indies,,6,860,860,,24,-71,860,British West Indies
bridewell,bridewell|bride-well,,6,862,862,,51.51179444,-0.105758333,862,Bridewell
bourbon,bourbon,,6,863,863,Not a place!,NA,NA,863,Bourbon
biscay,biscay,,6,864,864,,45.5,-4.333333333,864,Biscay
bedford,bedford,,6,865,865,England: 1 Bedford Mass. deleted bc threshhold,52.1337,-0.4577,865,Bedford
beauvais,beauvais,,6,866,866,city in France,49.43027778,2.095277778,866,Beauvais
batavia,batavia,,5,867,867,,52.31666667,5.55,867,Batavia
basil|basle,basil|basle,,11,1038|868,868,|,47.56666667,7.6,1038|868,Basil
barcelona,barcelona,,6,869,869,,41.38333333,2.183333333,869,Barcelona
